,Intercept,MODE[T.STANDARD],MACHINE[T.RevEVO],MACHINE[T.zIngCT],MACHINE[T.RevEVO]:MODE[T.STANDARD],MACHINE[T.zIngCT]:MODE[T.STANDARD],CURR,MACHINE[T.RevEVO]:CURR,MACHINE[T.zIngCT]:CURR,VOLT,MACHINE[T.RevEVO]:VOLT,MACHINE[T.zIngCT]:VOLT,FOV
original_shape_Elongation_Complete,0.5351706380923,1.4432899320127035e-15,-0.0007240383864774713,0.00044036009372905305,-4.354847325860334e-06,-2.4757011292897424e-05,1.6866212472927694e-17,1.1325414363033654e-07,3.482046567044022e-18,-1.734723475976807e-18,1.3193930644829857e-06,1.7824151357216742e-06,-1.050385347814122e-06
original_shape_Flatness_Complete,0.5949427456086636,1.4988010832439613e-15,-0.00044622233996127747,0.0008766021483999076,7.677090570479272e-06,-3.6651549259969496e-05,-1.6938980125085985e-17,-1.9969836253404094e-07,4.425535391166906e-18,-1.6046192152785466e-17,4.958776370966107e-07,2.638734724901481e-06,-2.4664156975643292e-06
original_shape_LeastAxisLength_Complete,133.84948949721596,3.765876499528531e-13,0.010564115453433942,-0.5564228986041542,-0.0027987632266395224,0.018508538921665263,1.3798452039548112e-15,7.276784387279188e-05,-2.0448052973076614e-16,-3.6637359812630166e-15,0.0005713324593788621,-0.0013326148023888318,0.0012707341484956905
original_shape_MajorAxisLength_Complete,390.70332824344564,1.0800249583553523e-12,-0.6837100343794873,-0.2101895253114776,0.00419778489042244,-0.0048223152056152685,3.837832847952467e-15,-0.00010914240721192268,-7.714640558320607e-16,-1.0436096431476471e-14,0.0024476559962950395,0.0003472066947156627,-0.000266117841938307
original_shape_Maximum2DDiameterColumn_Complete,380.2299585749488,1.0516032489249483e-12,-1.7056250072607781,0.8107222620208177,0.005765520041961736,-0.07549487392262222,3.455969852881529e-15,-0.0001499035211484971,-5.546778314435841e-16,-1.0658141036401503e-14,0.00411732389661007,0.005435630922340895,0.0004334143732578899
original_shape_Maximum2DDiameterRow_Complete,382.79250457189613,1.0516032489249483e-12,0.28225281903581845,-0.7496128596410472,-0.06060220086891377,-0.02341796532309104,3.900739476806515e-15,0.0015756572225331085,-8.164042358815848e-16,-1.0658141036401503e-14,-0.02787809670292607,0.0016860935031799418,0.010303001074682794
original_shape_Maximum2DDiameterSlice_Complete,220.11904439224134,6.252776074688882e-13,1.0610338214851254,0.16711485413600258,0.011917765187313023,0.007269840430211616,2.1928241866460277e-15,-0.000309861894902625,-4.0993684141676923e-16,-5.995204332975845e-15,-0.0011009719132355489,-0.0005234285110221615,-0.0003687077861023458
original_shape_Maximum3DDiameter_Complete,394.01196024643343,1.1084466677857563e-12,-0.4503237417009984,-0.019550903254639707,0.021563401071091448,-0.00450505400456791,3.823473536871699e-15,-0.0005606484279071719,-6.954072734322025e-16,-1.1102230246251565e-14,0.012543093010728812,0.00032436388824352846,0.0065704998725042985
original_shape_MeshVolume_Complete,859366.4048403467,2.3283064365386963e-09,3259.403209032782,-6801.2121398118325,-22.400983765284764,149.74660360533744,9.814962576054263e-12,0.5824255777702955,-2.660094367001875e-12,-1.9554136088117957e-11,-28.773389770755784,-10.781755459775468,-1.1652010147161036
original_shape_MinorAxisLength_Complete,170.48062156225032,4.831690603168681e-13,0.19442400064034615,-0.39188562679973415,0.004813095640997744,0.014737648486303101,1.7182154528530028e-15,-0.00012514048669169526,-3.0401028916493544e-16,-4.773959005888173e-15,0.00017284721040222717,-0.0010611106910540236,0.0005995063037639442
