,Intercept,MODE[T.STANDARD],MACHINE[T.RevEVO],MACHINE[T.zIngCT],MACHINE[T.RevEVO]:MODE[T.STANDARD],MACHINE[T.zIngCT]:MODE[T.STANDARD],CURR,MACHINE[T.RevEVO]:CURR,MACHINE[T.zIngCT]:CURR,VOLT,MACHINE[T.RevEVO]:VOLT,MACHINE[T.zIngCT]:VOLT,FOV
original_shape_Elongation_Complete,0.0,0.9999999999893728,0.35650553327115364,0.5521708144392317,0.9792260742374754,0.872837395314708,0.9999999999869094,0.9492562614668307,0.9999999999980901,0.9999999999995985,0.788492388427568,0.726391929166236,0.005177159452014582
original_shape_Flatness_Complete,0.0,0.999999999991885,0.6761262920976867,0.38436616816245495,0.9730786203643256,0.8617331593109379,0.9999999999903327,0.9342573652640178,0.9999999999982159,0.9999999999972696,0.9409087915358432,0.7033684406221228,1.3958477763577464e-06
original_shape_LeastAxisLength_Complete,5.199240046864783e-137,0.9999999999958973,0.9841277881530219,0.26784570850757405,0.980256994010873,0.8594035571664416,0.9999999999984155,0.9517841634720994,0.9999999999998339,0.9999999999987457,0.8636156083618285,0.6986460998478181,2.853146068253344e-06
original_shape_MajorAxisLength_Complete,2.265218102107946e-200,0.9999999999771005,0.013869834990164384,0.41450846780456596,0.9424137569016657,0.9284249998790255,0.9999999999914226,0.8599080141707228,0.9999999999987808,0.999999999993046,0.15454276807529208,0.844312980663163,0.043870483227561784
original_shape_Maximum2DDiameterColumn_Complete,1.8088792595525237e-114,0.9999999999978275,0.5429130171821598,0.7587032179787352,0.9922869350868431,0.8910196002263615,0.9999999999992475,0.9811551189478085,0.9999999999999145,0.9999999999993081,0.8144251903850084,0.7645545295846952,0.7462185308189688
original_shape_Maximum2DDiameterRow_Complete,2.503415364182074e-114,0.9999999999978504,0.9205595015008643,0.7786722984047046,0.9199172619638822,0.9664547753985064,0.9999999999991596,0.80597567866846,0.9999999999998757,0.9999999999993153,0.11844397126248259,0.9267395449338518,3.212346084596736e-11
original_shape_Maximum2DDiameterSlice_Complete,3.950240930931139e-166,0.9999999999907956,0.00820198609799622,0.6519587068670691,0.8867817848604017,0.9250961466887255,0.9999999999965974,0.728001331228918,0.9999999999995501,0.9999999999972264,0.654848656749772,0.8371521125651605,0.05234139250230538
original_shape_Maximum3DDiameter_Complete,7.406978706290976e-136,0.9999999999960255,0.7802067537900224,0.9897386347845328,0.949963865874464,0.9886770711409685,0.9999999999985549,0.8781445244906319,0.9999999999998141,0.999999999998749,0.21659628914186865,0.975246655967374,4.923042514151691e-13
original_shape_MeshVolume_Complete,2.1365110618361438e-120,0.9999999999974956,0.544935746262083,0.18188145716076867,0.9843975077172485,0.8874732632862867,0.9999999999988871,0.9618886282415002,0.9999999999997867,0.999999999999339,0.39402303150974216,0.7570846483764004,0.6506412966895815
original_shape_MinorAxisLength_Complete,8.304992887642713e-152,0.999999999993799,0.6664046878955452,0.357373467934319,0.9600151720246247,0.8680314135569849,0.9999999999976755,0.9025063088604147,0.9999999999997091,0.9999999999980744,0.9511802505624587,0.7164710432780959,0.006518089029268399
