,0,1,2,3
original_shape_Elongation_L1,-2.25523322273439e-18,-2.25523322273439e-18,-1.6108808733817073e-18,-1.6108808733817073e-18
original_shape_Elongation_L2,-1.127616611367195e-18,-1.127616611367195e-18,-1.6108808733817072e-19,-1.6108808733817072e-19
original_shape_Elongation_L3,-1.6108808733817073e-18,-1.6108808733817073e-18,-1.127616611367195e-18,-1.127616611367195e-18
original_shape_Elongation_L4,-1.6108808733817072e-19,-1.6108808733817072e-19,-1.2887046987053657e-18,-1.2887046987053657e-18
original_shape_Elongation_L5,-6.443523493526829e-19,-6.443523493526829e-19,-1.9330570480580484e-18,-1.9330570480580484e-18
original_shape_Elongation_Complete,-4.027202183454268e-19,-4.027202183454268e-19,-9.665285240290242e-19,-9.665285240290242e-19
original_shape_Flatness_L1,-8.054404366908536e-19,-8.054404366908536e-19,-1.4497927860435365e-18,-1.4497927860435365e-18
original_shape_Flatness_L2,-6.443523493526829e-19,-6.443523493526829e-19,-8.054404366908536e-19,-8.054404366908536e-19
original_shape_Flatness_L3,-1.6108808733817072e-19,-1.6108808733817072e-19,-8.054404366908536e-19,-8.054404366908536e-19
original_shape_Flatness_L4,-9.665285240290242e-19,-9.665285240290242e-19,-1.2887046987053657e-18,-1.2887046987053657e-18
original_shape_Flatness_L5,-7.248963930217682e-19,-7.248963930217682e-19,-1.127616611367195e-18,-1.127616611367195e-18
original_shape_Flatness_Complete,-4.832642620145121e-19,-4.832642620145121e-19,-4.832642620145121e-19,-4.832642620145121e-19
original_shape_LeastAxisLength_L1,-8.247710071714341e-17,-8.247710071714341e-17,-7.216746312750048e-17,-7.216746312750048e-17
original_shape_LeastAxisLength_L2,-8.247710071714341e-17,-8.247710071714341e-17,-6.185782553785755e-17,-6.185782553785755e-17
original_shape_LeastAxisLength_L3,0.0,0.0,-1.0309637589642926e-17,-1.0309637589642926e-17
original_shape_LeastAxisLength_L4,-8.247710071714341e-17,-8.247710071714341e-17,-7.216746312750048e-17,-7.216746312750048e-17
original_shape_LeastAxisLength_L5,-6.185782553785755e-17,-6.185782553785755e-17,-6.185782553785755e-17,-6.185782553785755e-17
original_shape_LeastAxisLength_Complete,-8.247710071714341e-17,-8.247710071714341e-17,-1.0309637589642926e-16,-1.0309637589642926e-16
original_shape_MajorAxisLength_L1,-2.0619275179285853e-16,-2.0619275179285853e-16,-1.0309637589642926e-16,-1.0309637589642926e-16
original_shape_MajorAxisLength_L2,-1.237156510757151e-16,-1.237156510757151e-16,-2.0619275179285852e-17,-2.0619275179285852e-17
original_shape_MajorAxisLength_L3,-6.185782553785755e-17,-6.185782553785755e-17,-2.268120269721444e-16,-2.268120269721444e-16
original_shape_MajorAxisLength_L4,-1.6495420143428681e-16,-1.6495420143428681e-16,-1.237156510757151e-16,-1.237156510757151e-16
original_shape_MajorAxisLength_L5,-1.4433492625500096e-16,-1.4433492625500096e-16,-2.474313021514302e-16,-2.474313021514302e-16
original_shape_MajorAxisLength_Complete,-2.886698525100019e-16,-2.886698525100019e-16,-5.773397050200038e-16,-5.773397050200038e-16
original_shape_Maximum2DDiameterColumn_L1,-8.247710071714341e-17,-8.247710071714341e-17,-1.237156510757151e-16,-1.237156510757151e-16
original_shape_Maximum2DDiameterColumn_L2,-1.6495420143428681e-16,-1.6495420143428681e-16,-4.1238550358571703e-17,-4.1238550358571703e-17
original_shape_Maximum2DDiameterColumn_L3,-2.0619275179285852e-17,-2.0619275179285852e-17,-3.2990840286857363e-16,-3.2990840286857363e-16
original_shape_Maximum2DDiameterColumn_L4,-2.0619275179285852e-17,-2.0619275179285852e-17,-1.237156510757151e-16,-1.237156510757151e-16
original_shape_Maximum2DDiameterColumn_L5,-1.0309637589642926e-16,-1.0309637589642926e-16,-1.237156510757151e-16,-1.237156510757151e-16
original_shape_Maximum2DDiameterColumn_Complete,0.0,0.0,-3.7114695322714534e-16,-3.7114695322714534e-16
original_shape_Maximum2DDiameterRow_L1,-1.8557347661357267e-16,-1.8557347661357267e-16,-1.6495420143428681e-16,-1.6495420143428681e-16
original_shape_Maximum2DDiameterRow_L2,-4.1238550358571706e-16,-4.1238550358571706e-16,-1.0309637589642926e-16,-1.0309637589642926e-16
original_shape_Maximum2DDiameterRow_L3,-2.474313021514302e-16,-2.474313021514302e-16,-2.886698525100019e-16,-2.886698525100019e-16
original_shape_Maximum2DDiameterRow_L4,-2.0619275179285853e-16,-2.0619275179285853e-16,-1.0309637589642926e-16,-1.0309637589642926e-16
original_shape_Maximum2DDiameterRow_L5,-2.268120269721444e-16,-2.268120269721444e-16,-2.474313021514302e-16,-2.474313021514302e-16
original_shape_Maximum2DDiameterRow_Complete,-4.948626043028604e-16,-4.948626043028604e-16,-4.948626043028604e-16,-4.948626043028604e-16
original_shape_Maximum2DDiameterSlice_L1,-1.0309637589642926e-16,-1.0309637589642926e-16,4.1238550358571703e-17,4.1238550358571703e-17
original_shape_Maximum2DDiameterSlice_L2,-1.8557347661357267e-16,-1.8557347661357267e-16,-1.8557347661357267e-16,-1.8557347661357267e-16
original_shape_Maximum2DDiameterSlice_L3,-1.237156510757151e-16,-1.237156510757151e-16,-6.185782553785755e-17,-6.185782553785755e-17
original_shape_Maximum2DDiameterSlice_L4,-2.474313021514302e-16,-2.474313021514302e-16,-2.268120269721444e-16,-2.268120269721444e-16
original_shape_Maximum2DDiameterSlice_L5,-1.8557347661357267e-16,-1.8557347661357267e-16,-6.185782553785755e-17,-6.185782553785755e-17
