,0,1,2,3
original_shape_Elongation_L1,2.472663203009062e-18,2.472663203009062e-18,4.945326406018124e-19,4.945326406018124e-19
original_shape_Elongation_L2,1.9781305624072496e-18,1.9781305624072496e-18,2.9671958436108742e-18,2.9671958436108742e-18
original_shape_Elongation_L3,1.9781305624072496e-18,1.9781305624072496e-18,1.4835979218054371e-18,1.4835979218054371e-18
original_shape_Elongation_L4,1.9781305624072496e-18,1.9781305624072496e-18,4.945326406018124e-19,4.945326406018124e-19
original_shape_Elongation_L5,3.4617284842126867e-18,3.4617284842126867e-18,1.4835979218054371e-18,1.4835979218054371e-18
original_shape_Elongation_Complete,4.945326406018124e-19,4.945326406018124e-19,1.236331601504531e-18,1.236331601504531e-18
original_shape_Flatness_L1,2.225396882708156e-18,2.225396882708156e-18,1.4835979218054371e-18,1.4835979218054371e-18
original_shape_Flatness_L2,1.7308642421063434e-18,1.7308642421063434e-18,2.225396882708156e-18,2.225396882708156e-18
original_shape_Flatness_L3,2.472663203009062e-19,2.472663203009062e-19,1.236331601504531e-18,1.236331601504531e-18
original_shape_Flatness_L4,1.236331601504531e-18,1.236331601504531e-18,7.417989609027186e-19,7.417989609027186e-19
original_shape_Flatness_L5,1.7308642421063434e-18,1.7308642421063434e-18,9.890652812036248e-19,9.890652812036248e-19
original_shape_Flatness_Complete,9.890652812036248e-19,9.890652812036248e-19,2.472663203009062e-19,2.472663203009062e-19
original_shape_LeastAxisLength_L1,6.330017799703199e-17,6.330017799703199e-17,6.330017799703199e-17,6.330017799703199e-17
original_shape_LeastAxisLength_L2,0.0,0.0,1.2660035599406398e-16,1.2660035599406398e-16
original_shape_LeastAxisLength_L3,1.2660035599406398e-16,1.2660035599406398e-16,9.495026699554798e-17,9.495026699554798e-17
original_shape_LeastAxisLength_L4,9.495026699554798e-17,9.495026699554798e-17,3.1650088998515994e-17,3.1650088998515994e-17
original_shape_LeastAxisLength_L5,9.495026699554798e-17,9.495026699554798e-17,9.495026699554798e-17,9.495026699554798e-17
original_shape_LeastAxisLength_Complete,1.2660035599406398e-16,1.2660035599406398e-16,1.8990053399109595e-16,1.8990053399109595e-16
original_shape_MajorAxisLength_L1,1.8990053399109595e-16,1.8990053399109595e-16,1.8990053399109595e-16,1.8990053399109595e-16
